ENSG00000000003	3	18	19	13	9	9	13	5	10	6	6	6	17	28	16	9	1	4	2	2	17	0	5	2	6	13	4	15	1	21	5	2	3	3	22	16	8	0	10	1	14	9	14	7	12	4	13	9	13	8	2	5	0	16	11	9	2	15	0	0	12	6	13	14	14	7	0	15	5	8	14	8	12	8	4	0	13	7	10	14	0	1	10	1	15	13	6	5	2	5	6	0	18	7	21	12
ENSG00000000005	2	5	7	1	7	4	4	0	7	4	7	8	3	3	3	1	0	8	1	3	1	0	1	1	7	2	4	3	0	30	0	3	3	1	0	1	0	0	4	1	3	4	3	1	1	6	3	0	0	1	0	0	0	4	0	5	0	3	2	0	5	5	4	3	5	1	3	8	3	6	6	3	5	2	1	1	6	1	0	2	1	2	2	0	6	13	0	2	16	4	0	0	1	1	35	0
ENSG00000000419	0	0	2	1	2	4	2	1	2	5	5	0	0	3	2	3	1	9	2	2	0	2	0	1	6	3	12	8	0	0	3	3	1	0	2	0	7	0	5	0	0	8	0	3	0	0	4	0	7	4	0	3	0	0	7	0	2	6	1	0	9	3	2	2	3	2	0	2	1	1	4	2	1	1	2	0	0	2	4	1	0	2	0	2	3	6	9	1	0	0	0	12	2	0	0	0
ENSG00000000457	4	1	6	4	9	20	4	0	0	8	4	9	5	10	8	4	0	4	4	19	0	3	3	2	8	14	13	8	1	0	3	16	6	4	5	2	7	2	14	0	12	9	10	7	7	2	15	8	20	6	9	0	1	6	7	6	7	18	3	0	14	6	11	4	15	21	2	10	15	2	9	10	14	18	2	31	2	6	18	6	4	11	3	9	8	11	12	11	17	0	21	32	13	2	9	6
ENSG00000000460	19	14	24	6	7	9	6	2	10	4	3	10	13	16	7	10	7	6	1	7	3	1	9	6	14	11	6	10	1	2	17	3	6	7	6	5	23	44	18	3	8	8	8	10	10	14	10	4	9	10	1	1	0	12	8	2	13	15	1	0	9	5	14	11	12	12	7	8	5	10	9	9	12	12	16	4	10	21	9	4	0	0	13	10	16	9	10	12	10	1	14	1	17	1	2	4
ENSG00000000938	3	1	2	0	0	0	1	0	2	3	5	0	6	6	4	0	0	2	1	8	4	2	4	1	6	3	0	0	13	1	1	0	1	5	0	1	2	10	2	3	3	1	0	4	5	2	4	1	0	0	0	1	8	10	1	3	4	1	1	0	8	3	5	3	3	2	1	1	1	1	8	4	1	1	0	16	3	1	3	1	0	0	1	2	0	0	8	5	0	0	5	0	5	0	3	1
ENSG00000000971	25	12	8	18	39	14	21	10	18	9	0	4	13	28	10	17	20	20	9	23	14	10	26	9	16	9	23	15	5	26	18	19	10	7	11	15	35	6	13	1	30	13	13	8	12	8	27	14	17	29	5	1	11	7	10	16	6	24	10	8	18	5	19	33	24	24	3	17	8	12	15	8	24	9	12	35	7	13	8	15	0	8	16	18	16	10	14	17	8	6	17	4	30	18	12	13
ENSG00000001036	5	0	3	5	2	1	0	4	6	6	5	1	4	1	4	5	19	3	1	4	3	2	0	0	6	1	9	3	0	5	1	2	3	7	1	3	4	1	9	1	11	7	9	1	3	0	7	0	5	2	5	0	3	3	2	0	4	5	0	0	8	0	8	1	2	4	0	4	4	2	7	1	8	4	6	0	3	0	4	1	0	9	0	5	0	2	2	3	1	3	0	0	0	0	4	0
ENSG00000001084	10	3	10	8	38	6	8	15	11	7	6	7	19	7	9	9	0	13	18	11	18	1	9	9	26	11	8	9	0	12	32	5	7	9	4	13	9	7	16	17	28	12	24	12	7	4	18	13	9	6	20	4	4	12	3	2	11	20	11	4	25	5	27	15	22	18	13	20	6	15	21	16	15	15	9	28	7	14	8	4	0	12	11	4	10	14	28	14	10	0	1	1	14	16	17	23
ENSG00000001167	4	12	4	3	0	4	0	10	7	2	3	1	8	7	14	10	4	7	2	6	13	2	2	0	5	8	12	1	1	2	1	0	7	1	13	9	5	10	12	7	7	7	4	0	2	4	11	7	5	2	22	0	0	0	6	7	7	2	2	0	3	0	9	5	7	4	0	6	4	5	8	5	7	3	5	0	7	6	3	4	0	4	8	11	6	4	0	5	1	4	0	8	11	15	19	0
